関数の機能	実装難易度
グレイピクセルの列位置偶奇に基づいて緑/グレイ選択	2
緑の2x2箱から4方向に色を延長	3
色値に基づいて3x3パターンの特定位置をグレイ化	3
2点間の最短パス配線を4色で描画	4
容器の深さに基づいてシアンの重力落下を表現	3
グレイとシアンを相互に交換	1
矩形の境界を除去して内部を緑で塗りつぶし	2
ピクセル数分の高さを持つ単色の列を生成	1
4辺の色に基づいてピクセルを内側1マスに移動	3
ブロック間にシアンの橋を架ける	3
2x2のシアン箱を4色で置き換え	1
部分的な縦線パターンを完全に補完	3
緑ピクセル隣接の赤ピクセルを黒に、緑をシアンに変換	3
グレイピクセルを避けながら赤線を下から上に描画	3
多色ピクセルから中央の色のみ抽出	1
2つの色レイヤーの重複部分をピンクで表示	2
オレンジの線から左右に交互色の三角形を生成	2
死の星から下方向への青ビームと緑のハロー効果	4
青ピクセル間を縦横の線で接続してシアンで描画	2
4方向対称グリッドから小矩形を切り出し（緑背景）	3
赤ピクセル周辺3x3を青で塗り、赤ピクセル自体は保持	2
2つのピクセルの位置関係から移動方向を計算	3
3つのライトの色で対応する箱を塗りつぶし	2
4象限から最大ピクセル数の象限の色を抽出	2
シアンピクセル間を縦横の線で完全接続	2
跳ね返りアニメーション（シアン版）	2
十字線を色の循環パターンで描画	3
縦縞背景から前景ピクセルを除去	2
左右対称グリッドから右半分のみ抽出	2
風車パターンの4象限表現から1つのみ入力に表示	4
十字線をオフセット移動し、端にグレイマーカー配置	3
スプライト形状の全可能位置から指定位置以外を赤で表示	4
緑ピクセルをL字、U字、H字の形状に基づいて色分け	3
複数箱から最大ピクセル数のものを抽出	2
前景/背景レイヤーから前景色で統一	4
箱間を線で接続し、外部への線も描画	5
複数スプライトの最初のものだけ色付きで表示	2
グレイ背景から小さな色ブロックを復元	3
スプライトのヒントピクセルから全パターンを展開	4
2つの青ピクセルの中間に緑の十字を配置	2
分割されたレイヤーを統合	2
2色の行を市松模様に再配置	1
3本の線を長さ順に色分け（重複回避）	3
中央の黒ピクセルから対角線全体を黒で描画	2
中央部分を指定倍率で垂直拡張	2
入れ子矩形構造から同心矩形パターンを生成	3
アンテナ人間の周囲にリング状のオーラと4方向アンテナ	3
赤ピクセルからシアン線への垂線と3x3シアン領域	4
3x3グリッドを時計回りに90度回転	1
矩形間の隙間をマルーンまたは黒で塗りつぶし	4
赤と青のピクセルから重力効果付きの斜め移動	3
箱の境界に付属物を配置し、内外で色変換	4
潜水艦パターンを2x2に拡大	2
部分的な棒グラフを上下対称に補完	2
2つのレイヤーの空白重複部分を緑で表示	2
4隅に色を配置し、中間点にグレイマーカー配置	3
グリッドを4象限に分割し、特定列をシアンで強調	2
色とグレイを反転（グレイ→色、色→空白）	1
箱の上下分割パターンから内容物を箱内に統合	4
色の出現頻度を棒グラフで表現（最頻色除外）	3
中心から同心矩形を指定数だけ表示、残りを無限拡張	3
最大ピクセル数のスプライトから縦1列の色リスト生成	2
繰り返しパターンから小さな矩形を切り出し	2
2つのレイヤーの空白重複部分を赤で表示	2
複数箱から最大のものを抽出し、静的ノイズを保持	3
2x2箱の色の種類数だけ緑の影を下に生成	2
色リストから対角線上に色を配置	2
2x2箱の数に基づいて3x3パターンの特定位置を青化	2
同心8角形パターンから小矩形を切り出し	4
